ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE
6,2016-03-18 15:57:21,19.206757,72.882636,19.230355,72.838503,AC bus,,,23,43,59.82
21,2016-02-14 23:08:07,19.122025,72.852804,19.11034,72.861011,ac bus,,,20,14,62.35
24,2015-06-18 03:55:57,22.665667,88.429562,22.603646,88.381764,Ac Bus,,,5,22,61.82
27,2015-01-25 04:32:15,,,,,ac bus,,,9,25,37.07
35,2016-06-11 21:37:45,25.317689,82.980269,25.368657,82.983328,AC Bus,,,35,24,73.77
40,2015-12-23 00:25:08,,,13.048264,80.221814,AC bus,,,11,28,39.79
53,2016-01-01 21:22:22,19.216564,72.837939,19.040299,72.846485,ac bus,,,4,23,58.1
60,2016-04-04 04:02:20,28.756204,76.986641,28.667895,77.012385,ac bus,,,73,37,99.36
69,2015-12-03 01:49:03,13.097314,77.606524,13.111083,77.559423,ac bus,,,9,15,41.51
72,2016-05-25 01:07:58,,,25.345618,82.999711,ac bus,,,14,15,80
97,2015-04-09 20:42:26,13.041271,77.602617,12.96032,77.492926,AC Bus,,,43,40,36.15
111,2016-01-01 15:14:14,28.684259,77.188422,28.56448,77.141502,ac bus,,,26,42,74.76
121,2015-11-22 14:03:36,12.928797,80.200878,13.195375,80.207048,Ac Bus,,,34,37,47.84
128,2016-01-23 12:04:13,22.511061,88.401404,22.525995,88.414623,AC bus,,,13,14,46.91
129,2016-03-26 13:12:20,19.242386,72.837774,19.098157,72.843255,ac bus,,,10,47,62.4
162,2016-07-08 00:54:11,19.131949,72.838865,19.185409,72.85054,ac bus,,,24,42,58.12
164,2016-05-13 14:34:45,19.164314,72.850986,19.115011,72.871586,Ac Bus,,,21,29,69.36
