ID,FARE
1,62.0113
2,18.4088
3,114.689
4,43.4842
5,25.2613
6,191.65
7,425.79
8,36.7171
9,176.311
10,56.1526
11,86.3001
12,347.309
13,63.1635
14,81.54
15,76.7399
16,44.5524
17,372
18,108.48
19,407.32
20,49.6294
21,67.2992
22,93.7653
23,58.481
24,225.902
25,503.063
26,80.9053
27,55.7052
28,931.614
29,169.414
30,24.1072
31,536.079
32,661.899
33,244.298
34,384.24
35,99.7955
36,126.692
37,73.7321
38,69.3303
39,52.6304
40,41.1664
41,396.301
42,556.719
43,64.8417
44,54.7885
45,90.7874
46,67.9604
47,29.9976
48,451.746
49,83.061
50,32.3483
51,538.564
52,97.1373
53,44.5089
54,992.104
55,100.738
56,168.654
57,39.159
58,1201.49
59,335.373
60,591.323
61,53.8191
62,28.9563
63,70.0831
64,52.1562
65,221.628
66,41.9805
67,42.7643
68,40.1429
69,359.456
70,84.0657
71,935.294
72,57.3997
73,1203.75
74,292.361
75,89.0609
76,30.7308
77,80.9469
78,69.2032
79,46.1194
80,503.019
81,593.643
82,112.821
83,398.16
84,34.0091
85,612.401
86,59.9287
87,108.562
88,1022.37
89,110.633
90,240.208
91,78.4898
92,853.545
93,807.45
94,78.3705
95,46.9172
96,48.2655
97,495.354
98,71.525
99,1020.78
100,775.812
101,482.122
102,926.761
103,932.947
104,87.1895
105,67.8187
106,443.082
107,46.6067
108,608.065
109,408.683
110,76.3885
111,52.6133
112,177.332
113,34.3719
114,198.678
115,72.6827
116,74.2307
117,43.6599
118,149.882
119,339.184
120,411.786
121,136.474
122,54.3592
123,562.183
124,74.4521
125,737.47
126,69.7017
127,45.1792
128,74.9673
129,613.861
130,79.3253
131,424.358
132,151.395
133,923.121
134,206.487
135,91.1022
136,534.954
137,97.1013
138,161.611
139,424.173
140,72.9356
141,426.233
142,40.4253
143,45.982
144,187.846
145,29.3286
146,19.0716
147,444.677
148,685.989
149,72.6706
150,397.087
151,65.5462
152,70.3249
153,632.796
154,189.233
155,42.8192
156,473.858
157,704.57
158,89.327
159,253.572
160,1110.13
161,80.6933
162,58.773
163,39.8335
164,38.5273
165,651.682
166,251.448
167,733.099
168,58.0504
169,1019.89
170,391.138
171,428.65
172,370.095
173,73.822
174,38.006
175,111.128
176,58.2675
177,348.281
178,889.684
179,53.7804
180,14.7085
181,768.625
182,49.972
183,95.6817
184,322.582
185,57.6732
186,554.855
187,459.682
188,497.132
189,303.984
190,357.443
191,18.018
192,606.618
193,96.5871
194,214.836
195,985.107
196,46.525
197,32.7785
198,358.31
199,46.3801
200,129.886
201,52.9119
202,78.4835
203,199.649
204,46.0468
205,39.1434
206,48.2587
207,63.5022
208,580.472
209,76.7605
210,88.4966
211,1134
212,38.0307
213,45.7148
214,721.8
215,505.022
216,84.0204
217,276.462
218,957.459
219,64.562
220,462.806
221,41.4437
222,55.0319
223,590.342
224,30.5999
225,716.294
226,61.6315
227,51.116
228,726.584
229,53.0092
230,74.9439
231,360.841
232,512.886
233,240.823
234,981.161
235,278.783
236,26.5795
237,46.7322
238,38.4751
239,44.7792
240,283.79
241,72.5947
242,421.297
243,55.3476
244,39.0598
245,130.359
246,612.073
247,180.567
248,46.0975
249,81.5932
250,235.608
251,42.7412
252,907.024
253,398.643
254,62.0061
255,426.797
256,39.8186
257,657.758
258,533.956
259,69.3888
260,19.8005
261,272.925
262,60.5201
263,118.582
264,96.2696
265,329.101
266,51.0927
267,81.2883
268,97.1896
269,342.157
270,731.399
271,42.195
272,45.7543
273,57.1897
274,49.6189
275,34.0417
276,1062.73
277,33.2359
278,79.0021
279,548.493
280,88.4936
281,82.4574
282,942.966
283,199.463
284,955.378
285,127.875
286,63.3511
287,84.7692
288,345.313
289,419.917
290,80.9715
291,223.164
292,564.602
293,684.889
294,43.3224
295,708.096
296,139.239
297,94.1676
298,1157.45
299,1086.28
300,133.814
301,504.979
302,31.1322
303,47.3998
304,452.544
305,54.3603
306,92.8008
307,32.8755
308,199.324
309,21.4051
310,64.4288
311,881.081
312,1330.93
313,233.693
314,490.986
315,597.409
316,188.004
317,479.349
318,41.8169
319,70.4305
320,93.774
321,83.087
322,857.884
323,64.6514
324,518.931
325,53.8547
326,249.361
327,36.2295
328,906.774
329,35.2993
330,37.6872
331,911.981
332,490.906
333,64.0639
334,84.8586
335,71.3373
336,64.735
337,39.7114
338,33.1094
339,301.023
340,260.8
341,664.901
342,58.4571
343,60.9396
344,96.6745
345,51.9048
346,356.648
347,74.7459
348,252.924
349,776.82
350,527.87
351,343.416
352,18.2926
353,54.4223
354,114.854
355,40.8299
356,76.0427
357,68.1433
358,40.5489
359,40.5411
360,970.274
361,527.984
362,34.3375
363,37.8067
364,56.5351
365,154.942
366,51.2004
367,469.799
368,471.028
369,823.126
370,57.8143
371,312.469
372,390.415
373,72.1358
374,593.821
375,39.3384
376,820.638
377,213.555
378,46.4898
379,55.7248
380,77.1879
381,76.509
382,58.6946
383,223.024
384,75.0294
385,23.5067
386,114.285
387,285.325
388,79.8045
389,26.9692
390,62.3936
391,39.0283
392,65.1
393,27.168
394,48.0013
395,465.856
396,188.961
397,57.7432
398,82.005
399,76.2356
400,335.605
401,386.497
402,519.322
403,1157.63
404,71.4726
405,71.0335
406,218.508
407,77.061
408,87.7856
409,328.959
410,557.998
411,77.5146
412,386.922
413,82.9245
414,66.7478
415,50.8407
416,23.4964
417,123.817
418,34.1915
419,50.6964
420,51.379
421,366.55
422,43.8659
423,810.045
424,88.1891
425,16.0627
426,521.677
427,100.44
428,37.0081
429,307.141
430,799.613
431,44.4224
432,887.973
433,114.874
434,53.7161
435,507.579
436,663.391
437,58.6147
438,48.6687
439,42.4322
440,352.528
441,76.6026
442,410.186
443,429.576
444,547.266
445,413.485
446,70.3352
447,58.3715
448,50.3644
449,534.53
450,53.1843
451,43.4432
452,479.172
453,32.5133
454,151.937
455,51.3828
456,28.9552
457,57.519
458,150.62
459,60.1699
460,53.1607
461,53.0676
462,41.5005
463,579.605
464,368.572
465,507.277
466,176.672
467,91.9129
468,343.335
469,109.054
470,54.7797
471,69.7501
472,316.691
473,40.6048
474,57.1168
475,398.471
476,52.9248
477,561.116
478,42.2576
479,81.7529
480,32.5161
481,479.328
482,131.857
483,561.928
484,62.4285
485,62.7149
486,45.9285
487,64.2703
488,370.663
489,287.074
490,62.4991
491,67.824
492,145.118
493,48.3597
494,428.329
495,48.2558
496,225.504
497,33.2357
498,40.7847
499,53.7163
500,62.5827
501,440.736
502,510.555
503,67.5914
504,80.7334
505,108.548
506,98.9785
507,665.18
508,41.7503
509,507.357
510,540.149
511,50.5245
512,291.267
513,296.032
514,33.9117
515,503.285
516,978.273
517,52.3515
518,318.693
519,59.5826
520,597.064
521,586.026
522,96.6718
523,415.371
524,520.284
525,39.4687
526,50.1094
527,68.7363
528,244.425
529,53.3323
530,35.0335
531,79.65
532,423.051
533,53.5172
534,405.524
535,65.1069
536,51.3238
537,380.252
538,41.1748
539,92.7077
540,636.879
541,46.0352
542,95.2808
543,68.4229
544,515.714
545,287.873
546,95.4099
547,38.3689
548,306.745
549,826.728
550,48.3154
551,24.2276
552,48.899
553,42.5107
554,43.5171
555,482.302
556,91.4788
557,262.864
558,68.6977
