ID,FARE
1,72.8153830592
2,47.8867401413
3,69.6734377319
4,48.9594285924
5,47.4191902508
6,213.869406117
7,448.935975643
8,46.007153053
9,164.336252758
10,45.4399307188
11,84.3542572958
12,341.953949591
13,88.6861653351
14,64.4820453341
15,44.8740875253
16,40.4787376393
17,384.708788299
18,110.849561931
19,479.905108712
20,50.7660185456
21,58.3731717546
22,79.3521900854
23,61.3343564045
24,286.398988519
25,531.135798474
26,84.3542572958
27,55.7652728296
28,971.95759419
29,183.5293094
30,40.6599426435
31,468.464866762
32,528.33719767
33,340.780559647
34,386.651333753
35,127.732934471
36,66.4913944609
37,66.4913944609
38,66.4913944609
39,54.3151164146
40,52.1649274309
41,363.296956594
42,531.891227701
43,72.6869634107
44,50.9785471729
45,94.8937554599
46,60.4985043516
47,48.8760863158
48,495.920052597
49,85.3695637173
50,44.2529635945
51,503.933073586
52,78.1147305069
53,54.4246567789
54,1034.02711003
55,53.913674935
56,193.56590414
57,48.9594285924
58,1236.52539017
59,322.379254899
60,599.40931298
61,64.6007020251
62,38.4390115927
63,61.2883820723
64,48.0086206089
65,209.797506547
66,43.9472042993
67,51.2491693021
68,46.1217122437
69,338.922896677
70,73.785682789
71,918.021500808
72,61.7131314087
73,1208.13427681
74,316.928381962
75,78.3767466618
76,33.5972432097
77,62.1656096148
78,110.817664504
79,42.8526404983
80,439.986736302
81,512.412655616
82,83.5945307765
83,379.152870688
84,35.7469169894
85,637.827583217
86,52.516375617
87,84.0917880434
88,1109.9521399
89,93.0511021271
90,265.000557731
91,86.771900491
92,907.205748866
93,850.748689834
94,80.4383311188
95,44.7791044598
96,36.1159221768
97,559.178888807
98,239.840260938
99,1038.00486871
100,782.026305641
101,500.261395358
102,953.736304294
103,972.461464991
104,62.1948007624
105,63.6076885904
106,471.076170013
107,49.3551306906
108,595.291399195
109,431.060851368
110,59.2972016678
111,47.3416046745
112,189.112332876
113,40.7601009651
114,146.396754046
115,61.5992741161
116,193.926591151
117,43.4147731219
118,269.285193835
119,322.173950797
120,451.262828652
121,150.138724836
122,49.1642096715
123,615.314454035
124,66.4913944609
125,741.592799538
126,56.53653221
127,40.2603009357
128,61.2609933931
129,431.468841748
130,70.2792173666
131,467.205696727
132,190.083879739
133,927.786185516
134,238.488508344
135,340.572977714
136,607.567726914
137,80.1762856816
138,330.800578586
139,413.462661042
140,64.8505649043
141,491.635697491
142,57.3664582778
143,39.5498823051
144,251.177392199
145,34.7559409787
146,42.9595272175
147,410.459251797
148,652.38175191
149,66.0612730224
150,377.558947165
151,65.0171031009
